"logFC"	"P.Value"	"adj.P.Val"
"POLE"	4.43067006487967	8.75905087872795e-06	0.000466474478456075
"SMARCC1"	3.84681049944064	8.86316012575799e-06	0.000469658855063916
"DNA2"	4.21715195729624	9.06148979147255e-06	0.000476383631046947
"TP53INP1"	3.74448823201207	9.0998216826231e-06	0.000476383631046947
"CASP2"	4.17073458239961	9.12491763564166e-06	0.000476383631046947
"DDN"	-5.38129670005315	9.20600411417552e-06	0.000478204045513412
"DPYSL5"	4.76213791621109	9.25003107475463e-06	0.000478204045513412
"KCTD12"	4.15638286763195	9.29628648499818e-06	0.000478262350330149
"FHDC1"	4.89416059991081	9.38210793296269e-06	0.000480345796490524
"TUBB2B"	4.30291068108411	9.433550766454e-06	0.000480657552994613
"SEL1L3"	3.77491306433922	9.61323867961854e-06	0.000487469394864102
"SYTL2"	-4.017898878518	9.79199834223033e-06	0.000491599389619821
"PLAAT3"	-4.22052315078092	9.80101960322139e-06	0.000491599389619821
"HMGN1"	3.92186187455846	9.83384323451613e-06	0.000491599389619821
"BOC"	3.92749564010905	1.0079226141305e-05	0.000499793643493255
"FRMD4B"	4.50517562697586	1.00920777229248e-05	0.000499793643493255
"NEUROD2"	4.55277474315827	1.01802902762045e-05	0.000501817285335885
"ITPRIP"	3.8122163411876	1.02554577911231e-05	0.000503182137362603
"STK32B"	4.11657504704908	1.03049807044186e-05	0.000503281960854507
"ATAD5"	4.60119982376504	1.04199488469581e-05	0.000505103852500606
"KNTC1"	4.45629416055361	1.0462432210766e-05	0.000505103852500606
"SH3BP2"	3.82244047534086	1.0485265856778e-05	0.000505103852500606
"HDAC2"	4.30546013252983	1.07229823725322e-05	0.00051421795105926
"NUP160"	3.85176571243008	1.08065689272793e-05	0.000515070439575932
"CCNJ"	4.01723649830114	1.08379607497106e-05	0.000515070439575932
"BCL11B"	5.88554647113659	1.09937643315413e-05	0.000518850671661283
"CST3"	-4.08356822204856	1.10154181094347e-05	0.000518850671661283
"CSRP1"	-3.92758150807236	1.12062512804476e-05	0.000525503765797275
"JPT2"	4.04430049501204	1.12985886950873e-05	0.000527499748856984
"NHSL1"	4.0503101281486	1.13593682207528e-05	0.000528011335103238
"TSKU"	3.98298755261396	1.15956716520727e-05	0.000536305861612488
"ANKRD44"	4.06272298859784	1.16390213409013e-05	0.000536305861612488
"FAM111A"	3.80383187415096	1.19554158893881e-05	0.000547266317355889
"MARCKSL1"	3.67148415217961	1.19801647128294e-05	0.000547266317355889
"ZSCAN2"	4.23454290880285	1.21446019082091e-05	0.000552396957181117
"C11orf95"	4.18200594311739	1.23794240889349e-05	0.000557889704062854
"PMP2"	-4.01798828954276	1.24153184354232e-05	0.000557889704062854
"TMPO"	4.23884902893388	1.24232845969837e-05	0.000557889704062854
"NA..1354"	3.75194899570821	1.26028308498651e-05	0.000563564562645021
"ZBTB5"	3.92199192102051	1.27219249443499e-05	0.000564674762069227
"PTK7"	3.86484515269048	1.27342204316423e-05	0.000564674762069227
"NBPF1"	3.72385656872383	1.29227006052489e-05	0.000565846322766699
"MYC"	4.22195517734911	1.30574178971284e-05	0.000565846322766699
"CARNS1"	-5.83098673509974	1.32121120950151e-05	0.000565846322766699
"GABPB1.AS1"	4.41120467387659	1.32143590834617e-05	0.000565846322766699
"ZNF793"	4.14284479419906	1.32685751679977e-05	0.000565846322766699
"ZSCAN9"	3.7973574348939	1.33361035270335e-05	0.000565846322766699
"ZNF250"	4.16831957636842	1.34184197963876e-05	0.000565846322766699
"GPC4"	3.99007362426231	1.34188543758566e-05	0.000565846322766699
"MCM7"	3.77795653508497	1.34312871846891e-05	0.000565846322766699
"TIA1"	3.90516502396267	1.35730249990106e-05	0.000565846322766699
"PLPPR1"	3.68948846303549	1.35845726974334e-05	0.000565846322766699
"PABPC1L"	3.65749081238796	1.36763074555488e-05	0.000565846322766699
"FOXG1"	4.32178838681003	1.36847480995408e-05	0.000565846322766699
"CACNG4"	3.6465438565298	1.3742564039978e-05	0.000565846322766699
"PABPC1"	3.89413635794556	1.37612088080288e-05	0.000565846322766699
"SOX12"	4.05338114720786	1.38082936816419e-05	0.000565846322766699
"SEMA3C"	5.01360227699304	1.3814142548119e-05	0.000565846322766699
"SMC3"	3.86908339837571	1.38858567475821e-05	0.000565846322766699
"MLLT3"	4.42744276345675	1.39166410023155e-05	0.000565846322766699
"KDM6B"	4.06472362688905	1.39227001443731e-05	0.000565846322766699
"NT5DC2"	3.64388405006934	1.39461047246744e-05	0.000565846322766699
"MCF2L2"	-3.6616589277503	1.40339339452006e-05	0.000565846322766699
"POLD1"	4.02898033240058	1.41266367858038e-05	0.000565846322766699
"ZNF480"	3.87900491395618	1.41645771069949e-05	0.000565846322766699
"ZNF678"	3.76597645742755	1.41694869643536e-05	0.000565846322766699
