"SRR1554534"	"SRR1554536"	"SRR1554537"	"SRR1554539"	"SRR1554566"	"SRR1554568"
"CAPZB"	18650	5522	22824	18278	23806	16832
"CARS1"	6428	1258	8000	7778	12940	6814
"CASP1"	64	96	148	116	196	174
"CASP2"	792	382	13502	1404	12296	15012
"CASP3"	998	1106	6728	1838	10764	9084
"CASP4"	110	216	90	156	122	92
"CASP5"	0	8	0	0	0	0
"CASP6"	154	180	1276	276	2482	1904
"CASP7"	958	906	752	556	1632	1124
"CASP8"	218	148	244	298	388	224
"CASP9"	1410	822	1122	1488	2162	2120
"CASP10"	324	92	360	358	522	444
"CASQ1"	1778	268	386	2534	1170	562
"CASQ2"	192	844	0	410	40	8
"CASR"	12	0	0	16	0	0
"CAT"	2722	2844	5398	1688	7312	5980
"CAV1"	852	2310	1214	1142	3014	1834
"CAV2"	790	1482	1234	1182	1442	982
"CAV3"	0	8	6	4	4	12
"RUNX2"	328	74	70	496	26	78
"RUNX1"	124	50	160	116	248	134
"RUNX1T1"	1480	116	65680	2278	6452	4600
"CBFA2T3"	2476	360	5190	2622	7424	6570
"RUNX3"	82	260	22	80	12	54
"CBFB"	982	1168	7430	1316	6468	5748
"SERPINA6"	0	0	0	0	0	0
"CBL"	4908	2304	19874	7982	20186	23118
"CBLB"	500	222	14040	620	14928	15220
"CBLN1"	986	142	594	844	4990	1898
"SERPINH1"	800	1164	5786	678	10416	5182
"CBR1"	7642	3574	1566	6778	2882	1966
"CBR3"	356	204	202	348	294	80
"CBS"	7200	3706	27012	4710	49568	27310
"CCIN"	36	8	14	36	14	0
"KYAT1"	2088	622	3064	1954	3982	3002
"CCK"	16090	2914	186	23742	92	144
"CCKAR"	36	2	52	24	102	84
"CCKBR"	3444	434	1274	4378	820	1820
"KRIT1"	2474	1092	7396	5534	8286	8026
"CCNA2"	112	62	4462	334	7776	5944
"CCNB1"	742	68	5640	1094	9438	6050
"CCNC"	1708	1006	6218	5110	5956	5608
"CCND2"	14552	3126	103452	21376	81992	81058
"CCND3"	9414	4238	4330	6650	3780	2966
"CCNE1"	406	114	224	510	766	382
"CCNF"	1268	218	4560	1100	6856	4470
"CCNG1"	988	1768	10250	3044	8840	7288
"CCNG2"	4308	2600	41948	8508	30982	28990
"CCNH"	1854	760	4396	3582	5702	5014
"CCNT1"	406	80	3594	1074	2474	2752
"CCNT2"	3234	1240	25802	7522	20084	22724
"CCT6A"	8216	2750	36046	15466	39156	31198
"CD1A"	0	0	0	0	0	0
"CD1B"	0	0	0	0	0	0
"CD1C"	4	12	4	4	0	2
"CD1D"	16	6	158	16	196	98
"CD1E"	0	0	0	0	0	0
"CD2"	32	110	4	12	4	28
"CD3D"	16	52	2	10	0	4
"CD3E"	60	172	8	68	8	6
"CD3G"	8	16	0	20	0	0
"CD247"	122	270	262	154	202	106
"CD4"	752	1202	364	454	658	396
"CD5"	86	64	30	60	18	2
"CD5L"	0	0	24	0	4	8
"CD6"	332	100	32	254	48	6
"CD7"	20	106	0	16	14	2
"CD8A"	374	224	1208	654	516	652
"CD8B"	4	26	92	12	12	14
"CD9"	3980	5288	890	4390	932	534
"CD14"	492	132	184	276	620	276
"CD19"	0	26	50	10	140	50
"MS4A1"	2	66	0	40	0	8
"MS4A3"	4	0	0	10	4	0
"CD22"	4950	306	4	2410	22	16
"CD27"	68	20	114	48	78	56
"CD28"	8	16	18	42	86	88
"CD80"	0	0	14	12	4	6
"CD86"	16	12	64	46	82	44
"TNFRSF8"	0	8	0	12	16	8
"TNFSF8"	0	0	12	8	8	12
"CD33"	8	8	26	20	48	32
"SIGLEC6"	10	0	0	18	0	0
"CD34"	4754	1672	1602	2418	2866	2038
"CD36"	98	24	344	178	942	642
"SCARB1"	5402	2772	7082	5154	6828	5578
"SCARB2"	16916	7641	55651	35572	73529	75884
"CD37"	156	112	310	106	314	340
"CD38"	162	214	42	78	24	12
"ENTPD1"	3894	2196	14150	6506	16902	15550
"ENTPD2"	1432	820	214	544	266	132
"ENTPD6"	22744	3660	13958	21662	15004	10442
"ENTPD3"	1632	156	220	3084	144	128
"ENTPD5"	442	196	1276	520	880	826
"CD40"	192	266	128	122	388	202
"CD40LG"	0	20	0	4	0	0
"CD44"	482	446	418	444	314	398
"CD47"	14624	4044	36858	40128	18172	26170
"CD48"	12	164	0	48	4	6
"CD53"	738	262	286	1082	216	196
"CD58"	92	276	234	208	348	478
"CD59"	18374	16062	12426	24328	11398	10196
"CD63"	12222	10344	11734	11358	11172	5610
"CD68"	528	154	2302	568	2078	1926
"CD69"	24	300	10	26	18	34
"CD70"	8	8	0	12	0	0
"CD72"	34	42	100	30	162	160
"CD74"	3416	1322	292	2758	784	246
"CD79A"	2	36	18	8	36	24
"CD79B"	36	48	10	28	20	4
"CD81"	20882	18292	19242	15816	28344	15600
"ADGRE5"	866	631	256	824	210	134
"CD151"	3390	4342	11160	2386	11546	9930
"CDA"	46	104	32	54	72	10
"CDK1"	54	60	5572	118	11934	8230
"CDK11B"	3996	928	6542	2960	7994	6710
"LRBA"	1892	1046	3496	3232	4474	3618
"CDC5L"	4008	1240	13740	6202	18746	13478
"SEPTIN7"	29966	24172	37282	60934	47096	39678
"CDC6"	300	88	1550	538	3728	1698
"CDC20"	86	22	3194	210	8532	3504
"CDC25A"	108	66	2060	126	5118	2958
"CDC25B"	6278	1746	5834	5934	11642	6950
"CDC25C"	8	16	830	10	2192	1182
"CDC27"	4198	1502	16704	11454	17396	16832
"CDC34"	6574	2450	7108	4662	11568	6618
"CDC42"	11322	4814	56810	20452	33696	34228
"CDH1"	428	144	838	396	2350	1860
"CDH2"	7682	3372	55132	11080	53746	45668
"CDH3"	772	150	4050	472	2374	1350
"CDH4"	3108	640	8720	1926	8260	6374
"CDH5"	3050	1324	2388	1720	3896	2766
"CDH6"	1188	1044	2062	2196	7056	6596
"CDH7"	452	8	48	644	4286	704
"CDH8"	4202	86	4514	7824	820	628
"CDH9"	1188	80	850	3390	70	30
"CDH10"	4576	1092	5410	7848	2304	2838
"CDH11"	2580	1388	14944	4168	4790	4684
"CDH12"	732	26	3906	1976	818	498
"CDH13"	9298	710	2056	16124	7364	3940
"CDH15"	22	0	0	0	26	26
"CDH16"	0	0	0	8	4	0
"CDH17"	28	4	16	26	68	50
"CDH18"	2480	142	766	6022	2814	2432
"CDK2"	180	244	4274	132	7944	6120
"CDK3"	624	302	2626	398	2720	2274
"CDK4"	1672	1550	10160	1670	12334	8382
"CDK5"	4432	876	5044	5820	4758	3282
"CDK6"	1214	696	5910	2630	16164	12112
"CDK7"	1326	424	2578	1974	2098	2014
"CDK8"	1434	266	3508	1698	5498	5578
"CDK9"	9038	3308	17672	7454	19486	14706
"CDKN1A"	658	1638	252	520	594	174
"CDKN1B"	8848	3934	31822	11290	35356	31526
"CDKN1C"	1804	496	2218	1250	1938	1912
"CDKN2A"	56	42	16	126	2	0
"CDKN2B"	242	200	116	510	132	88
"CDKN2C"	816	684	2496	520	4466	2552
"CDKN2D"	7452	2702	11560	8342	8726	8482
"CDKN3"	146	28	584	264	1334	844
"CDO1"	2886	1582	9380	4270	13002	10478
"CDR1"	2480	238	7462	4434	8668	12666
"CDR2"	2480	438	3074	3538	4318	3002
"CDS1"	4410	1010	3004	8266	1696	1572
"CDSN"	0	0	0	0	0	0
"CD52"	20	38	4	50	0	0
"CDX1"	26	26	0	12	0	6
"CDX2"	0	0	0	0	0	0
"CDX4"	0	0	0	0	0	0
"CLGN"	508	102	1126	1162	3382	1992
"CEACAM5"	0	0	0	0	0	0
"CEBPA"	1032	306	256	978	150	102
"CEBPB"	2144	744	128	1212	218	72
"CEBPD"	1402	1376	186	1102	598	336
"CEBPE"	0	0	4	6	0	0
"CEBPG"	3552	1636	12234	5534	16008	11382
"CEL"	182	50	568	120	574	504
"CELP"	0	0	8	0	6	4
"CENPA"	4	0	744	0	1280	908
"CENPB"	10974	8334	15094	6634	18982	13644
"CENPC"	718	372	3298	1374	5064	3752
"CENPE"	68	36	3998	182	7884	5644
"CENPF"	232	16	21848	468	44230	28064
"CES1"	8	38	12	56	10	35
"CETN1"	0	0	0	0	0	0
"CETN2"	2680	2266	5380	4524	7758	4248
"CETN3"	678	822	2654	966	4630	3330
"CETP"	46	114	112	126	326	132
"CFL1"	66946	18484	116790	59214	117634	91176
"CFL2"	3660	3066	7160	8276	7226	7582
"CTSC"	412	440	716	826	2318	924
"CFTR"	22	16	0	76	36	616
"CGA"	0	0	0	0	26	0
"CGB3"	0	0	0	2	2	0
"CEACAM3"	10	0	0	6	0	0
"CEACAM7"	0	0	0	8	0	0
"CEACAM8"	8	2	2	10	2	6
"CEACAM4"	0	16	0	0	0	0
"CHAD"	512	468	66	518	190	138
"RCBTB2"	1142	1110	12092	1838	8690	7904
"CHAT"	0	0	128	4	114	70
"RCC1"	558	164	6440	492	9120	5674
"CHD1"	1562	948	11758	2744	13168	14068
"CHD2"	10968	3914	43578	12462	43000	46788
"CHD3"	39600	8468	343218	39848	315462	296860
"CHD4"	12832	4962	41994	14512	76600	55998
"AKR1C4"	12	2	6	4	1	2
"CHEK1"	144	120	3040	204	5046	3332
"FOXN3"	4518	2642	40796	7224	23650	26658
"CHGA"	43164	2144	13382	38062	24182	13204
"CHGB"	27824	942	19632	33244	15450	10946
"CHI3L1"	1908	722	48	838	18	14
"CHI3L2"	46	20	0	12	0	0
"CHIT1"	104	8	100	112	30	34
"CHKA"	4938	3498	8814	5862	9802	8306
"CHKB"	20	2	16	4	0	14
"CHM"	3208	864	6852	9926	4748	5096
"CHML"	2442	740	17772	10838	20042	20212
"CHN1"	91330	14916	4100	167194	5856	5628
"CHN2"	4302	292	14718	6686	3810	3462
"CHRM1"	13778	1192	1404	14050	1278	708
"CHRM2"	224	0	802	574	136	274
"LYST"	2788	1284	10864	7044	7446	8922
"CHRM3"	1420	38	722	3712	210	180
"CHRM4"	1554	30	50	1486	58	70
"CHRM5"	218	8	32	50	42	106
"CHRNA1"	82	0	12	90	40	30
"CHRNA2"	834	368	40	1640	8	8
"CHRNA3"	30	24	388	62	686	588
"CHRNA4"	8218	1304	12756	5024	16122	10948
"CHRNA5"	46	52	724	152	2012	1238
"CHRNA7"	200	12	238	420	372	358
"CHRNB1"	1092	898	2114	858	1698	1364
"CHRNB2"	12712	798	13746	14412	12932	11610
"CHRNB3"	50	2	4	136	0	0
"CHRNB4"	4	4	458	10	674	790
"CHRND"	12	0	0	2	2	0
"CHRNE"	124	10	114	140	118	150
"CHRNG"	4	4	8	0	22	18
"CHUK"	946	942	6412	2792	8734	6726
"CIDEA"	400	36	1012	508	222	386
"CKB"	154430	63622	97368	124766	146882	98404
"CIRBP"	42630	16880	92750	30554	95522	77458
"CISH"	74	20	422	84	874	622
"TBCB"	10808	4090	24982	9836	20300	13314
"CKM"	20	8	134	14	180	78
"CKMT1B"	1882	756	686	2132	446	340
"CKMT2"	552	700	314	398	258	180
"ERCC8"	332	330	2752	710	2464	2412
"CKS1B"	230	150	1370	254	1468	1142
"CKS2"	300	26	3076	296	2602	3296
"AP2M1"	75184	12374	61204	85330	62640	48510
"AP1S1"	10304	2146	10536	11316	10776	9232
"AP2S1"	6422	1292	5902	6410	5870	4906
"AP3S1"	3824	2638	13110	8678	8620	7754
"CLC"	0	0	0	16	0	0
"CLCA1"	0	0	0	0	4	0
"CLCN1"	18	12	54	14	138	110
"CLCN2"	1234	698	3096	988	3314	2764
"CLCN3"	10980	2868	18218	18150	18890	17240
"CLCN4"	16034	1688	21202	34338	27502	28794
"CLCN5"	856	200	900	1340	2118	2120
"CLCN6"	15482	2462	17846	14952	13750	16700
"CLCN7"	13626	3296	15122	10186	15738	11074
"CLCNKA"	36	6	2	10	54	8
"CLCNKB"	12	2	22	14	52	16
"CLU"	344454	198924	13014	202392	27120	16244
"CLIC1"	4	6	16	0	44	6
"CLIC2"	344	362	482	730	622	468
"CLK1"	6066	4182	50246	11674	57668	61042
"CLK2"	2256	808	8834	2618	11148	9092
"CLK2P1"	70	20	230	78	240	280
"CLK3"	3012	1228	7040	2468	10434	6900
"TPP1"	13056	8090	3932	10130	3916	3970
"CLN3"	1416	684	4766	1175	4793	3660
"CLN5"	726	986	2994	1584	2884	2384
"CLNS1A"	3312	3466	9774	4804	16218	10246
"CLPS"	14	0	4	6	0	6
"CLPTM1"	23362	6108	18138	20962	12366	12126
"CLTA"	10786	3040	17080	12522	16170	12300
"CLTB"	12228	3906	6416	10868	8672	5500
"CLTC"	38768	10346	79152	111186	74386	62696
"CMA1"	4	0	0	0	0	0
"CCR1"	32	18	96	72	146	158
"CCR3"	0	0	0	0	0	4
"CCR4"	0	16	0	4	8	8
"CCR5"	2	10	4	20	22	8
"CCR6"	144	44	106	266	120	116
"CCR7"	16	28	16	40	24	36
"CCR8"	0	0	0	0	0	0
"ACKR2"	42	24	28	26	28	14
"CMKLR1"	148	208	158	294	426	228
"LTB4R"	328	60	698	242	644	500
"ABCC2"	20	0	62	28	172	140
"CNGB1"	1648	118	18	1560	76	8
"CNGA1"	4	58	8	64	12	4
"CNGA2"	0	0	0	0	0	0
"CNGA3"	154	12	1720	350	2202	1258
"CNGA4"	116	42	262	114	124	100
"PLK3"	798	342	2386	824	5160	3218
"CNN1"	766	1196	12	606	42	20
"CNN2"	414	552	2714	182	2062	1308
"CNN3"	10260	10694	28790	6642	34534	28938
"CNP"	55026	15020	16444	50544	19294	13000
"CNR1"	5570	1254	92836	22192	51704	69210
"CNR2"	0	0	0	0	4	8
"CNTF"	4	0	10	0	8	4
"CNTFR"	10284	5984	29500	2908	21334	20318
"CNTN1"	15914	3846	30570	39346	18678	18810
"COL1A1"	456	436	3286	446	15330	6280
"COL1A2"	1296	2230	7176	1528	25570	11350
"COL2A1"	70	76	82	22	2708	354
"COL3A1"	268	598	6178	400	35108	14218
"COL4A1"	2084	1820	13066	1704	25460	14366
"COL4A2"	4414	2462	16204	2998	24886	15182
"COL4A3"	298	842	108	598	72	74
"COL4A4"	314	400	174	442	108	92
"COL4A5"	2182	1098	5794	4316	19720	13102
"COL4A6"	32	72	3984	36	16942	9234
"COL5A1"	1010	426	1956	1182	6052	2922
"COL5A2"	4610	1038	3302	10220	9106	5168
"COL6A1"	15588	7526	26028	7716	40462	30840
"COL6A2"	2496	3898	6126	1556	9750	4986
"COL6A3"	136	142	1014	360	6764	4006
"COL7A1"	2902	864	2338	2238	2928	2344
"COL8A1"	90	58	6	58	54	32
"COL8A2"	68	60	98	70	508	118
"COL9A1"	856	1324	3656	1164	11180	6630
"COL9A2"	6788	3670	14920	3864	10634	7332
"COL9A3"	5370	1930	14230	4168	16886	4710
"COL10A1"	68	8	8	322	26	14
"COL11A1"	2404	1636	13088	3488	23786	19078
"COL11A2"	4	0	6	0	2	4
"COL12A1"	2298	716	6924	3568	9042	12824
"COL13A1"	378	134	188	162	1720	1360
"COL15A1"	156	186	1644	332	2974	3524
"COL16A1"	10030	5816	4924	6866	6452	5160
"COL17A1"	96	72	6	80	18	0
"COL19A1"	382	22	374	1120	826	1138
"COMP"	0	0	0	0	10	4
"COMT"	5632	5404	5584	3306	7306	3796
"COPA"	23394	4696	42168	27922	43306	39394
"COPB1"	2670	1924	17892	6670	23950	18374
"KLF6"	3908	2080	26264	4916	21202	19524
"SLC31A1"	2444	1122	3866	2750	4827	3950
"SLC31A2"	2288	448	910	2302	1036	738
"CORT"	218	72	362	400	204	150
"MAP3K8"	256	156	464	286	204	290
"COX4I1"	24594	16242	18962	26444	24950	13354
"COX5B"	6372	8446	7988	11408	4758	3848
"COX6A1"	15732	11172	10770	17160	7766	6398
"COX6A2"	12	8	44	6	30	20
"COX6B1"	6590	5164	10234	7486	10036	6760
"COX6C"	6262	5928	7094	12230	14786	7264
"COX7A1"	2048	1564	380	2988	126	98
"COX7A2"	5820	4478	9802	9272	7642	5956
"COX7B"	1688	3338	6470	6878	4458	5434
"COX7C"	13840	11968	25346	17752	20082	19266
"COX8A"	6374	6070	6628	8130	7382	5432
"COX10"	1280	310	2736	1438	2684	2170
"COX11"	3630	844	4038	6010	3544	3242
"COX15"	2652	1376	9678	5212	10224	8428
"CP"	104	152	6	290	20	0
"CPA1"	0	4	0	4	6	0
"CPA2"	12	0	10	4	24	6
"CPA3"	0	0	4	14	0	4
"CPB1"	28	0	4	0	2	0
"CPB2"	8	0	32	28	70	58
"CPD"	5124	1600	8124	14466	15224	9776
"CPE"	115262	92368	59064	103702	69330	54332
"CLDN4"	54	18	62	44	70	16
"CLDN3"	0	12	0	0	188	0
"CLDN7"	16	28	40	8	82	42
"CPM"	1260	800	118	1296	164	136
"CPN1"	0	0	0	0	0	0
"CPN2"	0	0	0	0	0	0
"CPOX"	2752	732	3702	3772	3714	2812
"CPS1"	398	268	122	428	402	182
"CPT1A"	4458	4728	2846	3406	3392	2198
"CPT1B"	56	6	62	32	26	68
"CPT2"	816	730	1514	752	2780	1438
"CR1"	74	4	42	80	54	28
"CR1L"	14	0	48	12	10	44
"CR2"	14	2	0	24	0	4
"CRABP1"	360	256	258	212	942	602
"CRABP2"	862	362	590	590	1220	780
"CRAT"	8534	3526	8258	6236	7232	6360
"CREB1"	3020	1686	29882	6968	25274	23302
"ATF2"	3142	574	14002	7816	10528	12032
"CREBBP"	14182	2700	57514	13340	39888	49648
"ATF6B"	4	2	16	4	0	8
"CREBL2"	5942	3592	7322	12084	7292	5378
"CREM"	1420	1944	1734	2480	2254	1902
"CRH"	1744	492	440	2048	106	12
"CRHBP"	1238	54	130	2248	54	54
"CRHR1"	1034	180	882	1004	144	62
"CRHR2"	598	12	2694	408	1292	1154
"CRIP1"	246	1030	102	204	148	38
"CRIP2"	22634	6772	26892	16426	28372	16436
"CRK"	4120	1285	14866	5900	12168	10978
"CRKL"	10680	4432	29138	16154	30794	24872
"CRMP1"	22648	3926	232426	25296	226888	167132
"CRP"	0	0	6	0	2	0
"HAPLN1"	490	178	188	1016	336	164
"CRX"	0	0	4	0	12	2
"CRY1"	1144	808	6992	1562	9230	7936
"CRY2"	14328	3958	16132	14790	10568	9900
"CRYAA"	2	2	4	16	4	0
"CRYAB"	14672	8562	2186	12472	292	200
"CRYBA1"	12	0	2	8	6	0
"CRYBA2"	52	18	2	28	0	0
"CRYBA4"	0	2	4	16	6	4
"CRYBB1"	144	20	64	184	82	32
"CRYBB2"	54	44	36	36	8	28
"CRYBB2P1"	2100	622	2000	1604	2700	1822
"CRYBB3"	20	2	2	8	2	6
"CRYGA"	2	12	14	16	10	16
"CRYGB"	8	0	6	2	4	6
"CRYGC"	0	0	0	0	4	2
"CRYGD"	30	8	500	30	770	468
"CRYGS"	148	124	414	238	456	276
"CRYM"	11512	1018	24474	16626	30134	30166
"CRYZ"	1430	944	1238	2362	2380	1630
"CS"	14678	4330	31240	19760	33422	29102
"MAPK14"	3828	1344	10900	6948	8602	6940
"CSE1L"	4134	1476	27818	10814	30602	25328
"CSF1"	1654	654	510	844	584	408
"CSF1R"	1256	132	2080	840	2498	1828
"CSF2"	0	0	0	0	0	0
"CSF2RA"	4	0	4	2	8	8
"CSF2RB"	100	32	26	48	104	102
"CSF3"	4	12	22	2	4	4
"CSF3R"	362	12	286	292	280	246
"CSH1"	0	0	0	0	24	0
"CSH2"	0	0	6	0	16	0
"CSHL1"	0	0	0	0	0	0
"CSK"	3428	1506	15908	2640	16810	13640
"CSN1S1"	0	0	36	36	0	0
"CSN2"	0	0	0	0	0	0
"CSN3"	0	0	0	0	0	0
"CSNK1A1"	7916	3742	47894	14780	32810	30038
"CSNK1D"	9484	1734	16598	8650	16190	14854
"CSNK1E"	19028	4900	70712	13362	72542	69866
"CSNK1G2"	12216	2910	11134	8554	13464	10536
"CSNK1G3"	2250	868	9998	5460	9794	9654
"CSNK2A1"	6580	1550	23684	9186	21146	22540
"CSNK2A2"	2094	570	5796	2918	6970	5564
"CSNK2B"	32	32	222	30	148	156
"VCAN"	2510	3538	74044	4228	69686	99064
"NCAN"	33414	18478	136916	20932	145164	130084
"CSPG4"	4304	4106	2298	2936	3326	2410
"CSRP1"	33538	47794	1446	24276	3022	2524
"CSRP2"	662	1028	27756	544	32712	23508
"SLC25A10"	1320	428	1118	774	1328	752
"CST1"	0	0	0	0	0	0
"CST2"	0	0	0	0	0	0
"CST3"	73148	88922	5164	40044	4846	2134
"CST4"	0	0	0	0	0	0
"CST5"	0	0	0	0	0	0
"CST6"	4	4	0	8	0	0
"CSTA"	0	0	0	0	4	0
"CSTB"	3832	3164	5976	3074	4122	5592
"CSTF1"	1306	420	3734	2006	3780	3374
"CSTF2"	1076	280	3740	1402	4594	3508
"CSTF3"	2868	1016	11680	3746	14330	11920
"NKX2.5"	0	4	0	0	0	0
"CTAG1B"	0	0	0	0	0	0
"CTBS"	342	486	568	572	602	508
"CTBP1"	12500	3102	19304	11084	22474	15762
"CTBP2"	2922	1986	24626	3344	28730	25696
"CTF1"	228	294	156	90	216	310
"CCN2"	1916	860	1520	1434	5504	2474
"CTH"	414	300	952	756	824	1022
"CTLA4"	16	6	2	22	2	4
"CTNNA1"	12464	6774	26336	15128	47718	32452
"CTNNA2"	19142	11224	26698	26390	39454	25714
"CTNS"	1174	628	3398	918	3792	2888
"CTNNB1"	21872	10368	49574	32290	88742	56280
"CTNND1"	14304	5618	54218	16274	62526	65782
"CTNND2"	48196	16080	72062	52288	82650	87024
"CTPS1"	1948	374	8496	2902	11622	7634
"CTRB1"	0	0	4	2	0	0
"CTRL"	200	62	1238	170	906	784
"CTSB"	40602	10996	20613	47892	16962	11955
"CTSD"	41372	9978	11852	31442	13254	8406
"CTSE"	0	0	0	0	8	4
"CTSG"	0	8	8	4	8	4
"CTSH"	2584	4816	302	1852	468	178
"CTSK"	194	230	570	386	862	636
"CTSL"	4826	2074	2436	5038	4354	2408
"CTSV"	44	32	146	60	540	264
"CTSLP2"	0	0	6	0	0	4
"CTSLP8"	0	0	0	0	0	2
"CTSO"	1346	1386	626	1714	1492	804
"CTSS"	238	142	220	406	370	192
"CTSW"	28	154	34	68	40	22
"CTSZ"	3486	1752	1150	3564	2826	1942
"CUX1"	6916	4712	15132	7370	21922	13704
"CX3CR1"	412	94	2100	380	1790	1844
"CXADR"	518	112	16996	2004	8304	10976
"TEX28"	0	0	0	0	0	0
"CYB5A"	1206	1002	1780	1234	2072	1774
"CYB561"	6052	774	2954	7418	2790	1814
"CYBA"	524	432	582	310	854	434
"CYBB"	290	38	704	572	1374	806
"CYC1"	6242	1744	4194	5194	4032	2534
"CYLC1"	0	0	0	0	0	0
"CYLC2"	0	0	0	0	0	0
"CYLD"	7658	2188	9202	17426	8028	7922
"CYP1A1"	250	40	172	344	42	36
"CYP1A2"	0	0	2	0	10	2
"CYP1B1"	866	1018	648	2276	1698	1560
"CYP2A6"	96	8	42	84	16	20
"CYP2A7"	22	18	26	18	4	0
"CYP3A7"	14	4	74	80	50	66
"CYP2A13"	4	0	0	4	0	0
"CYP2B6"	0	0	0	4	0	0
"CYP2B7P"	326	28	80	254	22	38
"CYP2C19"	0	0	0	8	4	6
"CYP2C8"	134	66	188	554	604	322
"CYP2C9"	4	0	4	0	8	4
"CYP2C18"	12	0	2	12	2	0
"CYP2D7"	370	136	988	296	946	716
"CYP2D6"	296	88	1422	252	1132	878
"CYP2E1"	1448	146	1528	980	1000	742
"CYP2F1"	0	0	4	2	0	0
"CYP2J2"	1392	1230	86	650	366	172
"CYP3A4"	14	0	138	24	46	72
"CYP3A5"	82	72	178	152	158	260
"CYP4A11"	32	0	80	38	69	52
"CYP4B1"	18	18	0	0	0	0
"CYP7A1"	12	0	4	12	0	4
"CYP8B1"	6	16	16	12	8	0
"CYP11A1"	102	216	2	90	74	36
"CYP11B1"	4	0	0	4	0	0
"CYP11B2"	4	0	0	0	0	0
"CYP17A1"	78	20	34	70	18	14
"ADAM3A"	0	0	0	0	0	0
"CYP19A1"	2	0	0	0	26	0
"CYP21A2"	4	0	0	0	4	0
"CYP24A1"	218	38	20	156	42	28
"CYP26A1"	358	0	3046	398	4068	6278
"CYP27A1"	2042	1746	380	1650	1366	586
"CYP27B1"	24	8	230	46	276	174
"CYP51A1"	7416	2979	20368	13184	22644	20071
"DAB1"	894	142	20774	1380	18278	23386
"DAB2"	570	442	1572	1064	2472	1812
"DACH1"	852	304	3966	2242	12876	8790
"DAD1"	2758	3374	4810	3794	3736	3976
"CD55"	992	516	390	2004	498	382
"DAG1"	10080	5834	21152	7436	17998	17700
"DGKA"	1952	738	936	3362	692	492
"DGKB"	5216	1096	988	20310	348	364
"DGKG"	4116	1208	180	3942	484	196
"DGKQ"	7426	1160	6274	6974	8796	6016
"DAO"	36	4	80	28	114	74
"DAP"	3252	2542	12196	3114	34146	19088
"DAPK1"	10234	1310	20404	12888	26568	20430
"DAPK3"	8538	1578	10030	7058	9634	8086
"DARS1"	2826	4646	7024	4662	13920	8570
"DAXX"	4	6	10	0	10	14
"DAZ1"	0	0	0	0	0	0
"DAZL"	2	0	8	4	6	22
"BRINP1"	15134	2248	14554	17920	8912	6450
"DBH"	508	66	314	414	352	282
"DBI"	4554	8502	6932	5170	8502	7330
"DBN1"	18404	3982	131380	14544	138946	107744
"DBP"	3978	1550	2028	3212	950	1020
"DBT"	2660	1304	6358	5314	5756	6080
"DCC"	1594	472	20560	3902	33384	31272
"ECI1"	2058	1696	1518	1214	3410	1570
"DCK"	2038	1044	9180	4940	8266	8642
"DCN"	2734	7944	3296	4694	4908	4508
"DCTD"	4016	1844	3910	5380	3850	3146
"ACE"	1020	236	1194	1018	904	550
"DCT"	128	44	28	248	3986	5380
"DCTN1"	79762	9014	60428	88670	70358	52842
"DCX"	1352	382	431918	3424	214860	311354
"DDB1"	26368	7206	47924	30572	59898	41918
"DDB2"	548	252	1678	604	3310	2240
"DDC"	10	0	16	10	24	14
"AKR1C1"	268	216	2682	705	2443	2344
"AKR1C2"	261	64	1592	351	1845	974
"GADD45A"	2496	686	2072	1872	4066	3054
"DDIT3"	1572	806	762	1650	1000	696
"DDOST"	6480	2890	17120	7748	17090	11308
"DDT"	22	14	26	11	24	24
"DDX1"	14198	3044	21846	23424	32768	22590
"DDX3X"	13570	7728	72606	34432	64010	66928
"DDX5"	25740	16274	152634	52352	207334	171712
"DDX6"	12416	5064	82704	21990	68178	69084
"DMXL1"	3898	1440	12092	10140	8306	9546
"DHX8"	2614	566	9358	3836	13700	10030
"DHX9"	9490	3984	67004	15298	88722	62928
"DDX10"	2178	476	5208	3648	7528	5844
"DDX11"	1128	86	4324	328	7990	3942
"DHX15"	4412	2234	28432	8442	33828	26884
"DECR1"	2472	2738	1738	2194	3088	1964
"DEFA1"	0	0	0	0	2	0
"DEFA3"	0	6	0	0	16	4
"DEFA4"	0	0	6	0	24	0
"DEFA5"	0	0	0	0	0	4
"DEFA6"	0	0	0	8	2	0
"DEFB1"	0	0	4	0	4	2
"DEFB4A"	0	0	0	0	0	0
"DES"	562	412	8	436	38	4
"CFD"	172	34	396	58	174	190
"DFFA"	1976	910	7164	2252	7358	6777
"DFFB"	996	276	2852	890	2810	2544
"TIMM8A"	558	170	1840	1128	1738	1840
"GSDME"	2096	746	4856	3834	8458	6192
"COCH"	128	74	1270	324	998	1578
"DGUOK"	2050	978	6574	2638	7094	4570
"DHCR7"	6828	2598	8548	4332	8654	7516
"DHCR24"	38246	2006	29180	51350	41248	28258
"DHFR"	758	356	3722	626	10360	4828
"DHFRP3"	0	0	0	0	0	0
"DHODH"	716	294	1774	559	2506	1646
"DHPS"	6780	1218	18398	5658	14856	11302
"CYB5R3"	16738	11426	16156	10914	20804	15008
"NQO1"	1652	2362	428	1342	902	356
"DIAPH1"	7138	1488	17582	8474	21928	15980
"DIAPH2"	250	94	924	820	1570	972
"SEPTIN1"	594	438	466	238	488	286
"DIO1"	0	0	8	10	10	18
