"SRR1554534"	"SRR1554536"	"SRR1554537"	"SRR1554539"	"SRR1554566"	"SRR1554568"
"ARHGDIB"	1108	1042	720	1198	864	698
"ARHGDIG"	14790	5468	1972	13798	1924	1252
"RHOH"	2	52	8	24	40	2
"ARL1"	6054	2136	5522	11754	5284	4604
"PHOX2A"	0	0	0	0	0	4
"ARL2"	10110	2730	4500	7608	3674	3328
"ARL3"	7506	2952	23130	9874	24718	20222
"ARNT"	3098	1182	8152	4190	8384	9016
"ARNTL"	4782	1324	3916	5936	2414	2334
"ARR3"	22	6	34	14	86	78
"ARRB1"	9100	2832	12566	10168	8494	11640
"ARRB2"	9756	1716	12588	7094	11366	10374
"ARSA"	4440	1180	3454	2682	6642	5344
"ARSB"	1454	486	6513	1938	5026	4066
"STS"	5500	990	3686	15280	3624	3836
"ARSD"	832	494	2702	446	5024	5166
"ARSL"	292	268	298	132	520	420
"ARSF"	260	278	306	196	134	122
"ART1"	14	0	0	2	6	0
"ART3"	528	70	168	1370	68	78
"ART4"	0	0	0	0	6	4
"ARVCF"	4624	1838	20854	3288	29724	20608
"ASAH1"	7770	5544	26768	11758	9538	11988
"ASCL1"	1752	1814	8332	1208	8000	8118
"ASCL2"	20	6	136	100	126	152
"ASGR1"	874	244	2292	660	2848	2200
"ASGR2"	92	26	8	152	8	0
"ASIP"	8	6	128	14	98	50
"ASL"	2316	558	1118	1894	2504	1210
"ASMT"	0	0	0	0	6	2
"GET3"	7928	1956	10262	7832	7394	5314
"ASNS"	6686	1526	18318	14102	21458	19316
"ASPA"	814	622	6	1700	26	20
"ASPH"	12316	7244	9616	11198	11770	8418
"ASS1"	7252	1614	252	5164	408	138
"ASTN1"	21584	5574	33858	32812	27006	29856
"SERPINC1"	24	12	152	30	30	86
"ZFHX3"	1280	1150	7502	1630	6352	5090
"ATF1"	472	506	2574	688	2280	2168
"ATF3"	518	350	124	568	702	252
"ATF4"	22200	6942	36634	20536	58378	33776
"ATIC"	3822	1732	7672	5458	9798	6712
"ATM"	3040	1944	21562	6862	17812	21456
"RERE"	28372	6014	51494	25784	37438	50246
"ATOH1"	0	0	0	0	2	0
"ATOX1"	800	1252	2722	1606	2464	2064
"ATP1A1"	104394	4880	49522	137954	36702	35112
"ATP1A2"	171420	151481	25066	57192	51294	36432
"ATP1A3"	185996	4388	102910	173802	83296	72432
"ATP12A"	174	0	14	118	2	4
"ATP1A4"	88	36	146	84	80	170
"ATP1B1"	69036	4674	33146	138216	16936	13938
"ATP1B2"	58951	40710	19894	15768	13040	16754
"ATP1B3"	4148	1788	11540	7152	18560	12734
"FXYD2"	26	46	154	16	118	126
"ATP2A1"	118	36	396	94	320	264
"ATP2A2"	68500	11444	73676	133190	57338	53748
"ATP2A3"	650	684	556	606	1048	444
"ATP2B1"	33244	5138	36558	109568	27078	29814
"ATP2B2"	75838	6364	46710	146618	13360	11680
"ATP2B3"	15966	610	5348	18520	4872	4120
"ATP2B4"	21170	5838	21840	39466	20560	13280
"ATP4A"	184	112	18	352	8	8
"ATP4B"	2	0	6	0	26	4
"ATP5F1A"	38046	14422	68822	55648	80034	50632
"ALDH7A1"	7298	10732	8432	6448	16706	11846
"ATP5F1B"	51266	14810	75006	72046	68486	50670
"ATP5F1C"	7756	3950	16930	13560	16460	15826
"ATP5F1D"	7200	3030	4912	6086	6124	2908
"ATP5F1E"	4414	7488	15750	9240	21966	13756
"ATP5PB"	6536	4816	14012	12192	13224	10574
"ATP5MC1"	5182	1708	4782	5922	3590	3328
"ATP5MC2"	6744	4956	14550	6694	20200	13994
"ATP5MC3"	11098	4194	13632	15280	8676	8308
"ATP5ME"	5472	3348	5406	4344	4276	3862
"ATP5PF"	4462	4316	7508	8074	6830	7186
"ATP6V1A"	21307	2936	21940	57810	23149	20374
"ATP6V1B1"	42	30	44	30	32	28
"ATP6V1B2"	44514	4544	28880	77914	23162	19174
"ATP6V0C"	72574	6894	26324	54260	14236	15882
"ATP6V1C1"	19622	2898	10902	47864	11964	10914
"ATP6V1E1"	15356	4216	9182	33250	10090	6780
"ATP6V0B"	9908	2992	16172	12102	5780	6434
