Geneid	HISAT2 on data 6: aligned reads (BAM)
391107	0
391109	0
343406	0
391112	0
128366	0
128367	0
128368	0
6708	0
81448	0
391114	0
128371	0
128372	0
81442	0
4332	230
646377	0
149628	42
3428	1070
9447	12
57863	35648
100131825	206
2532	532
2205	8
441911	0
26476	0
127385	0
325	0
1401	0
54935	528
343413	24
56833	106
284677	534
391123	28
25790	20
8407	1980
57549	38
89886	6
100505633	0
93183	1338
3766	12054
3765	20044
93185	28150
477	57192
480	84
844	2534
8682	74514
50717	16322
100505686	2658
100287049	0
100505665	156
5824	10584
1314	27922
474338	266
23385	5690
4807	188
57216	1094
114836	26
8832	116
6504	2
962	48
57823	24
4063	16
51744	96
55600	0
142683	0
50848	933
100131187	778
7391	5596
257106	206
81607	4
126823	1756
5202	3700
4817	2432
9191	2362
51506	6430
27005	2956
5498	1566
8703	3208
9507	2308
4720	12980
2207	124
336	6
84134	4388
9970	188
654790	6276
4359	128
6391	6136
257177	2934
100505703	64
2212	102
3310	14
2214	170
9103	22
3311	64
2215	104
2213	52
641311	2
84824	6
127943	202
11266	1578
22926	2870
25903	1068
9722	8326
693141	4
284680	54
400793	490
117157	348
127933	26774
6675	3946
4921	354
51478	482
339512	12
100287509	0
5999	132504
8490	29462
100505773	68
83540	96
5087	24306
100505795	4
4009	0
100505805	0
6258	762
400794	0
440699	0
4259	11254
100505828	144
223	4832
54499	4962
100147773	42
7371	1426
149297	724
100126349	0
116123	0
57645	7866
117143	2958
100505860	1060
387597	1360
84944	544
10223	74
92235	344
5451	396
919	154
8804	5356
92241	1250
100128751	0
9019	3932
55811	96
25874	8248
55827	26198
100313835	0
100329108	158
23432	708
261726	9222
375035	106
84832	180
100505900	420
9095	58
693142	0
100505918	0
6846	4
6375	2
1805	54
79100	0
481	138216
29922	1596
8548	2132
57821	1362
10560	1570
2153	224
6403	6
6402	154
6401	8
92342	466
55732	310
57147	1566
22920	32682
149281	4
100422839	0
100423010	0
284688	0
92344	962
5396	1516
100127910	108
